Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81947-31170,QB,Brandon,Brandon Allen,Allen,2.7719999313354493,5,6100,ATL@CIN,CIN,ATL,,,,,,QB
81947-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,7.099999904632568,2,6100,GB@WAS,WAS,GB,,,,,,RB/FLEX
81947-40407,QB,Joshua,Joshua Dobbs,Dobbs,,,6100,CLE@BAL,CLE,BAL,,,,,,QB
81947-22027,QB,Nick,Nick Foles,Foles,16.799999237060547,1,6100,IND@TEN,IND,TEN,,,,,,QB
81947-60947,QB,Jarrett,Jarrett Stidham,Stidham,,,6100,HOU@LV,LV,HOU,,,,,,QB
81947-40482,QB,Tim,Tim Boyle,Boyle,7.585000038146973,4,6100,DET@DAL,DET,DAL,,,,,,QB
81947-64051,QB,Drew,Drew Lock,Lock,8.896666844685873,6,6100,SEA@LAC,SEA,LAC,,,,,,QB
81947-6714,QB,Joe,Joe Flacco,Flacco,15.879999796549479,3,6100,NYJ@DEN,NYJ,DEN,,,,,,QB
81947-87691,QB,Malik,Malik Willis,Willis,-0.1599999964237213,1,6100,IND@TEN,TEN,IND,,,,,,QB
81947-7844,QB,Chad,Chad Henne,Henne,0,1,6100,KC@SF,KC,SF,,,,,,QB
81947-61157,QB,Brett,Brett Rypien,Rypien,0,1,6100,NYJ@DEN,DEN,NYJ,,,,,,QB
81947-53095,QB,Kyle,Kyle Allen,Allen,3.950000047683716,2,6100,HOU@LV,HOU,LV,,,,,,QB
81947-14194,QB,Blaine,Blaine Gabbert,Gabbert,0.33000000317891437,6,6100,TB@CAR,TB,CAR,,,,,,QB
81947-29715,QB,Kevin,Kevin Hogan,Hogan,,,6000,HOU@LV,HOU,LV,,,,,,QB
81947-62566,QB,Travis,Travis Jonsen,Jonsen,,,6000,TB@CAR,TB,CAR,,,,,,QB
81947-112745,WR,Drake,Drake London,London,9.516666412353516,6,6000,ATL@CIN,ATL,CIN,,,,,,WR/FLEX
81947-52342,QB,Will,Will Grier,Grier,,,6000,DET@DAL,DAL,DET,,,,,,QB
81947-64637,QB,Brian,Brian Lewerke,Lewerke,,,6000,NYG@JAC,NYG,JAC,,,,,,QB
81947-104576,QB,Sam,Sam Howell,Howell,,,6000,GB@WAS,WAS,GB,,,,,,QB
81947-68741,QB,Brandon,Brandon Peters,Peters,,,6000,SEA@LAC,LAC,SEA,,,,,,QB
81947-63625,RB,Nyheim,Nyheim Hines,Hines,4.44000015258789,5,6000,IND@TEN,IND,TEN,,,,,,RB/FLEX
81947-27801,QB,Nate,Nate Sudfeld,Sudfeld,,,6000,DET@DAL,DET,DAL,,,,,,QB
81947-149696,QB,Trey,Trey Lance,Lance,6.730000019073486,2,6000,KC@SF,SF,KC,IR,Ankle,,,,QB
81947-69833,QB,Shane,Shane Buechele,Buechele,,,6000,KC@SF,KC,SF,,,,,,QB
81947-45259,QB,Logan,Logan Woodside,Woodside,-0.15000000596046448,4,6000,IND@TEN,TEN,IND,,,,,,QB
81947-92362,QB,Levi,Levi Lewis,Lewis,,,6000,SEA@LAC,SEA,LAC,,,,,,QB
81947-29915,QB,Brett,Brett Hundley,Hundley,,,6000,CLE@BAL,BAL,CLE,,,,,,QB
81947-170252,QB,Felix,Felix Harper,Harper,,,6000,CLE@BAL,CLE,BAL,,,,,,QB
81947-91468,QB,Chase,Chase Garbers,Garbers,,,6000,HOU@LV,LV,HOU,,,,,,QB
81947-92560,QB,Sam,Sam Ehlinger,Ehlinger,0.29999999205271405,3,6000,IND@TEN,IND,TEN,,,,,,QB
81947-103824,QB,Easton,Easton Stick,Stick,,,6000,SEA@LAC,LAC,SEA,,,,,,QB
81947-71077,QB,Cole,Cole Kelley,Kelley,,,6000,GB@WAS,WAS,GB,,,,,,QB
81947-60840,QB,Jake,Jake Browning,Browning,,,6000,ATL@CIN,CIN,ATL,,,,,,QB
81947-25011,TE,Darren,Darren Waller,Waller,7.875,4,6000,HOU@LV,LV,HOU,O,Hamstring,,,,TE/FLEX
81947-34331,RB,Latavius,Latavius Murray,Murray,9.949999809265137,2,6000,NYJ@DEN,DEN,NYJ,,,,,,RB/FLEX
81947-30253,QB,Jeff,Jeff Driskel,Driskel,0.75,2,6000,HOU@LV,HOU,LV,,,,,,QB
81947-72241,QB,Drew,Drew Plitt,Plitt,,,6000,ATL@CIN,CIN,ATL,,,,,,QB
81947-88630,QB,Matt,Matt Corral,Corral,,,6000,TB@CAR,CAR,TB,IR,Foot,,,,QB
81947-89658,QB,Jack,Jack Coan,Coan,,,6000,IND@TEN,IND,TEN,,,,,,QB
81947-94797,QB,Kellen,Kellen Mond,Mond,0.20000000298023224,1,6000,CLE@BAL,CLE,BAL,,,,,,QB
81947-40534,QB,Mike,Mike White,White,13.005000114440918,4,6000,NYJ@DEN,NYJ,DEN,,,,,,QB
81947-54879,QB,Deshaun,Deshaun Watson,Watson,,,6000,CLE@BAL,CLE,BAL,IR,Suspension,,,,QB
81947-85607,QB,Brock,Brock Purdy,Purdy,-0.10000000149011612,1,6000,KC@SF,SF,KC,,,,,,QB
81947-69302,QB,Feleipe,Feleipe Franks,Franks,0,1,6000,ATL@CIN,ATL,CIN,,,,,,QB
81947-73398,QB,Chris,Chris Oladokun,Oladokun,,,6000,KC@SF,KC,SF,,,,,,QB
81947-69304,QB,Kyle,Kyle Trask,Trask,,,6000,TB@CAR,TB,CAR,,,,,,QB
81947-40669,WR,Tyler,Tyler Boyd,Boyd,9.236666361490885,6,6000,ATL@CIN,CIN,ATL,,,,,,WR/FLEX
81947-91872,RB,Joshua,Joshua Kelley,Kelley,5.1,5,6000,SEA@LAC,LAC,SEA,O,Knee - mcl,,,,RB/FLEX
81947-29445,QB,Sean,Sean Mannion,Mannion,12.960000038146973,1,6000,SEA@LAC,SEA,LAC,,,,,,QB
81947-95026,QB,Dustin,Dustin Crum,Crum,,,6000,KC@SF,KC,SF,,,,,,QB
81947-8023,QB,Josh,Josh Johnson,Johnson,12.079999923706055,4,6000,NYJ@DEN,DEN,NYJ,,,,,,QB
81947-33647,QB,Kyle,Kyle Sloter,Sloter,,,6000,NYG@JAC,JAC,NYG,,,,,,QB
81947-38767,QB,Chris,Chris Streveler,Streveler,1.0199999809265137,2,6000,NYJ@DEN,NYJ,DEN,,,,,,QB
81947-39795,QB,Davis,Davis Webb,Webb,-0.30000001192092896,1,6000,NYG@JAC,NYG,JAC,,,,,,QB
81947-169852,QB,Davis,Davis Cheek,Cheek,,,6000,TB@CAR,CAR,TB,,,,,,QB
81947-62364,QB,Josh,Josh Rosen,Rosen,-0.41333333651224774,3,6000,CLE@BAL,CLE,BAL,,,,,,QB
81947-33702,QB,Ryan,Ryan Griffin,Griffin,,,6000,TB@CAR,TB,CAR,,,,,,QB
81947-93103,QB,E.J.,E.J. Perry,Perry,,,6000,NYG@JAC,JAC,NYG,,,,,,QB
81947-38837,QB,Danny,Danny Etling,Etling,,,6000,GB@WAS,GB,WAS,,,,,,QB
81947-69597,QB,Anthony,Anthony Brown,Brown,,,6000,CLE@BAL,BAL,CLE,,,,,,QB
81947-63469,QB,Ben,Ben DiNucci,DiNucci,,,6000,DET@DAL,DAL,DET,,,,,,QB
81947-86080,TE,Kyle,Kyle Pitts,Pitts,5.8799999237060545,5,5900,ATL@CIN,ATL,CIN,,,,,,TE/FLEX
81947-89157,RB,Caleb,Caleb Huntley,Huntley,5.300000190734863,4,5900,ATL@CIN,ATL,CIN,,,,,,RB/FLEX
81947-90428,RB,Tyler,Tyler Allgeier,Allgeier,5.4,5,5900,ATL@CIN,ATL,CIN,,,,,,RB/FLEX
81947-71032,WR,Devin,Devin Duvernay,Duvernay,9.866666793823242,6,5900,CLE@BAL,BAL,CLE,,,,,,WR/FLEX
81947-94370,WR,Romeo,Romeo Doubs,Doubs,7.916666666666667,6,5800,GB@WAS,GB,WAS,,,,,,WR/FLEX
81947-45229,RB,Kareem,Kareem Hunt,Hunt,9.866666793823242,6,5800,CLE@BAL,CLE,BAL,,,,,,RB/FLEX
