QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,"","Instructions"
"82666-69189","82666-93134","82666-40442","82666-53681","82666-60858","82666-55635","82666-41872","82666-89956","82666-12541","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","","",82666-30989:Kenyan Drake,82666-30989,RB,Kenyan,Kenyan Drake,Drake,7.25,6,6200,BAL@NO,BAL,NO,,,,,,RB/FLEX
"","","","","","","","","","",82666-41535:Baker Mayfield,82666-41535,QB,Baker,Baker Mayfield,Mayfield,11.695999908447266,5,6200,CAR@CIN,CAR,CIN,,,,,,QB
"","","","","","","","","","",82666-139985:Bailey Zappe,82666-139985,QB,Bailey,Bailey Zappe,Zappe,10.53499984741211,4,6200,IND@NE,NE,IND,,,,,,QB
"","","","","","","","","","",82666-39716:Adam Thielen,82666-39716,WR,Adam,Adam Thielen,Thielen,9.514285496303014,7,6200,MIN@WAS,MIN,WAS,,,,,,WR/FLEX
"","","","","","","","","","",82666-64576:Damien Harris,82666-64576,RB,Damien,Damien Harris,Harris,8.342857360839844,7,6200,IND@NE,NE,IND,Q,Illness,,,,RB/FLEX
"","","","","","","","","","",82666-40167:Gus Edwards,82666-40167,RB,Gus,Gus Edwards,Edwards,12.550000190734863,2,6200,BAL@NO,BAL,NO,Q,Hamstring,,,,RB/FLEX
"","","","","","","","","","",82666-87418:Joshua Palmer,82666-87418,WR,Joshua,Joshua Palmer,Palmer,7.233333587646484,6,6200,LAC@ATL,LAC,ATL,Q,Concussion,,,,WR/FLEX
"","","","","","","","","","",82666-69333:Jacob Eason,82666-69333,QB,Jacob,Jacob Eason,Eason,1.3600000143051147,1,6200,CAR@CIN,CAR,CIN,,,,,,QB
"","","","","","","","","","",82666-104576:Sam Howell,82666-104576,QB,Sam,Sam Howell,Howell,,,6100,MIN@WAS,WAS,MIN,,,,,,QB
"","","","","","","","","","",82666-69777:Darnell Mooney,82666-69777,WR,Darnell,Darnell Mooney,Mooney,6.112500190734863,8,6100,MIA@CHI,CHI,MIA,,,,,,WR/FLEX
"","","","","","","","","","",82666-94370:Romeo Doubs,82666-94370,WR,Romeo,Romeo Doubs,Doubs,7.712500095367432,8,6100,GB@DET,GB,DET,,,,,,WR/FLEX
"","","","","","","","","","",82666-86278:Desmond Ridder,82666-86278,QB,Desmond,Desmond Ridder,Ridder,,,6100,LAC@ATL,ATL,LAC,,,,,,QB
"","","","","","","","","","",82666-70051:Tyler Huntley,82666-70051,QB,Tyler,Tyler Huntley,Huntley,12.377142769949776,7,6100,BAL@NO,BAL,NO,,,,,,QB
"","","","","","","","","","",82666-31170:Brandon Allen,82666-31170,QB,Brandon,Brandon Allen,Allen,2.7719999313354493,5,6100,CAR@CIN,CIN,CAR,,,,,,QB
"","","","","","","","","","",82666-22994:Case Keenum,82666-22994,QB,Case,Case Keenum,Keenum,0.1599999964237213,2,6100,BUF@NYJ,BUF,NYJ,,,,,,QB
"","","","","","","","","","",82666-33259:Teddy Bridgewater,82666-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,7.994999885559082,4,6100,MIA@CHI,MIA,CHI,,,,,,QB
"","","","","","","","","","",82666-64051:Drew Lock,82666-64051,QB,Drew,Drew Lock,Lock,8.896666844685873,6,6100,SEA@ARI,SEA,ARI,,,,,,QB
"","","","","","","","","","",82666-6714:Joe Flacco,82666-6714,QB,Joe,Joe Flacco,Flacco,15.879999796549479,3,6100,BUF@NYJ,NYJ,BUF,,,,,,QB
"","","","","","","","","","",82666-41562:Nick Mullens,82666-41562,QB,Nick,Nick Mullens,Mullens,9.880000114440918,1,6100,MIN@WAS,MIN,WAS,,,,,,QB
"","","","","","","","","","",82666-8803:Chase Daniel,82666-8803,QB,Chase,Chase Daniel,Daniel,-0.20000000298023224,1,6100,LAC@ATL,LAC,ATL,,,,,,QB
"","","","","","","","","","",82666-47870:Tyler Higbee,82666-47870,TE,Tyler,Tyler Higbee,Higbee,7.028571537562779,7,6100,LAR@TB,LAR,TB,,,,,,TE/FLEX
"","","","","","","","","","",82666-90933:Antonio Gibson,82666-90933,RB,Antonio,Antonio Gibson,Gibson,11.3125,8,6100,MIN@WAS,WAS,MIN,,,,,,RB/FLEX
"","","","","","","","","","",82666-56192:John Wolford,82666-56192,QB,John,John Wolford,Wolford,-0.44999998807907104,2,6100,LAR@TB,LAR,TB,,,,,,QB
"","","","","","","","","","",82666-93107:AJ Dillon,82666-93107,RB,AJ,AJ Dillon,Dillon,7.175000190734863,8,6100,GB@DET,GB,DET,,,,,,RB/FLEX
"","","","","","","","","","",82666-11500:Colt McCoy,82666-11500,QB,Colt,Colt McCoy,McCoy,6.0428570338657925,7,6100,SEA@ARI,ARI,SEA,,,,,,QB
"","","","","","","","","","",82666-27986:C.J. Beathard,82666-27986,QB,C.J.,C.J. Beathard,Beathard,-0.10000000149011612,1,6100,LV@JAC,JAC,LV,,,,,,QB
"","","","","","","","","","",82666-69017:Jordan Love,82666-69017,QB,Jordan,Jordan Love,Love,1.4600000381469727,2,6100,GB@DET,GB,DET,,,,,,QB
"","","","","","","","","","",82666-87467:Chuba Hubbard,82666-87467,RB,Chuba,Chuba Hubbard,Hubbard,2.7166665395100913,6,6100,CAR@CIN,CAR,CIN,Q,Ankle,,,,RB/FLEX
"","","","","","","","","","",82666-91639:Jake Fromm,82666-91639,QB,Jake,Jake Fromm,Fromm,4.633333206176758,3,6100,MIN@WAS,WAS,MIN,,,,,,QB
"","","","","","","","","","",82666-40482:Tim Boyle,82666-40482,QB,Tim,Tim Boyle,Boyle,7.585000038146973,4,6100,GB@DET,DET,GB,,,,,,QB
"","","","","","","","","","",82666-7844:Chad Henne,82666-7844,QB,Chad,Chad Henne,Henne,-0.15000000596046448,2,6100,TEN@KC,KC,TEN,,,,,,QB
"","","","","","","","","","",82666-71352:Mecole Hardman,82666-71352,WR,Mecole,Mecole Hardman,Hardman,9.200000217982701,7,6100,TEN@KC,KC,TEN,,,,,,WR/FLEX
